sample_date,sampler_name,project_type,broad_location,total_Cl2_mg.L,free_Cl2_mg.L,site,water_age_h
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_13,64.36
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.73,NA,site_19,131.08
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.68,NA,site_5,28.98
3/28/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.62,NA,site_22,206.3
3/28/18,DWDS_F,Full_Scale,DWDS_F,0.7,NA,site_23,234.39
3/28/18,DWDS_F,Full_Scale,DWDS_F,0.94,NA,site_24,289.38
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.34,NA,site_21,192.61
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_20,163.92
3/28/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
4/2/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_24,289.38
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_11,52.5
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.98,NA,site_1,19.35
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_8,34.97
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.61,NA,site_14,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,0.21,NA,site_7,34.69
4/3/18,DWDS_F,Full_Scale,DWDS_F,0.36,NA,site_9,50.07
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.99,NA,site_12,56.88
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_15,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_10,50.61
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.59,NA,site_17,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_13,64.36
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_6,34.06
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.93,NA,site_19,131.08
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.89,NA,site_5,28.98
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_14,70
4/4/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_22,206.3
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.32,NA,site_23,234.39
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.04,NA,site_24,289.38
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_21,192.61
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.51,NA,site_20,163.92
4/4/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31
4/9/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_13,64.36
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.07,NA,site_1,19.35
4/10/18,DWDS_F,Full_Scale,DWDS_F,0.54,NA,site_7,34.69
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_6,34.06
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.19,NA,site_11,52.5
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_8,34.97
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.53,NA,site_14,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,0.47,NA,site_9,50.07
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_12,56.88
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_15,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.18,NA,site_10,50.61
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_17,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,2,NA,site_13,64.36
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_19,131.08
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.43,NA,site_5,28.98
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_22,206.3
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_23,234.39
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.61,NA,site_24,289.38
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.67,NA,site_21,192.61
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.45,NA,site_20,163.92
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_3,23.31
