,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
25,SG_25,3/22/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,35,NA,NA,5737.44555,1.12411456,0.71411454,0.000236081,0.000170489,1.49362358,0.000434769,1.064722839,0.00026428,1.04750975,2419.6,1,NA,7.93,17.1,0.53,0.05,289.38,NA
28,SG_28,3/22/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,37,NA,NA,1268.89781,1.16958014,0.393056314,0.001139062,1.00E-05,1,0.000265704,1.092110248,0.000309522,1.00955305,23.29463458,1.030817926,NA,8.01,16.6,2,0.04,24,NA
31,SG_31,3/26/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,41,NA,NA,1126.34643,1.20505404,0.304340114,0.001038731,1.89E-05,1.486401608,0.000211027,1.036094,0.0001921,1.065785609,6.30634601,1.838439592,NA,7.84,13.7,0.03,0.01,24,NA
32,SG_32,3/27/18,DWDS_F,2018,site_11,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,3547.0981,1.03354721,0.603142095,0.000337784,4.44E-05,1.825356991,0.000614834,1.484870146,0.000570483,1.061644381,NA,NA,NA,8.08,15.2,1.87,0.08,52.5,NA
33,SG_33,3/27/18,DWDS_F,2018,site_8,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,2179.90223,1.38516867,0.712804322,0.000709662,0.000234169,1.458918122,0.000847893,1.0460794,0.000613724,1.016936564,5.470831747,1.503688327,NA,8.04,15.4,1.87,0.23,34.97,NA
34,SG_34,3/27/18,DWDS_F,2018,site_14,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,47282.2829,1.05191334,0.762600697,2.78E-05,0.003072077,1.475529987,0.005756161,1.048106413,0.002684084,1.03858639,1.414213562,1.632526919,NA,8.07,18.8,0.46,0.02,70,12.36
35,SG_35,3/27/18,DWDS_F,2018,site_12,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,2353.79035,1.03725639,0.88122163,0.000588163,1.00E-05,1,0.001041276,1.028909259,0.001176664,1.044058188,NA,NA,NA,7.81,16.3,1.11,0.01,56.88,NA
36,SG_36,3/27/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,55023.7907,1.02161186,0.862781359,2.46E-05,0.005742452,1.514621801,0.012538735,1.128851086,0.006796282,1.009838812,40.20373117,1.262214642,NA,7.94,19.3,0.39,0,70,9.43
37,SG_37,3/27/18,DWDS_F,2018,site_17,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,49792.9212,1.05410012,0.800436956,2.68E-05,0.001613626,1.457410651,0.00287185,1.018939883,0.001258225,1.042020787,NA,NA,NA,8.03,19.4,1.05,0.01,70,8.92
38,SG_38,3/27/18,DWDS_F,2018,site_6,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,349.698616,1.46316747,1.087380374,0.005815993,1.00E-05,1,0.000218716,1.050041216,0.000282943,1.060110071,NA,NA,NA,8.19,15.8,1.66,0.26,34.06,NA
39,SG_39,3/27/18,DWDS_F,2018,site_7,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,75677.8956,1.0361422,0.710498278,1.67E-05,0.002236403,1.45533344,0.005578832,1.04153796,0.003342429,1.016461558,NA,NA,NA,7.96,18.4,0.64,0,34.69,NA
40,SG_40,3/27/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,2739.24106,1.05593194,0.792627535,0.000514572,8.15E-05,1.47093168,0.000719612,1.071996649,0.000638111,1.007205635,1,1,NA,8.02,15.6,1.88,0.03,50.61,NA
41,SG_41,3/27/18,DWDS_F,2018,site_16,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,17218.9553,1.03512784,0.834209216,7.75E-05,0.000978063,1.468953714,0.00217856,1.029341745,0.001200497,1.047988829,35.28101472,1.123123753,NA,8.05,20.6,1.02,0.05,70,11.67
