,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
74,SGPI_74,2/3/16,DWDS_D,2016,site_D5,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,577.896995,1.0526891,0.153449914,0.000282788,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,17.7,NA,0.42,NA,NA
75,SGPI_75,2/3/16,DWDS_D,2016,site_D6,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,59.3697579,1.18363493,0.26783132,0.005517625,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19.2,NA,1.14,NA,NA
76,SGPI_76,2/3/16,DWDS_E,2016,site_E1,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,23.6,NA,1.98,NA,NA
77,SGPI_77,2/3/16,DWDS_E,2016,site_E2,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94,22.2,NA,2.04,NA,NA
78,SGPI_78,2/3/16,DWDS_E,2016,site_E3,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,36.3016446,2.03786006,1.145179565,0.122409587,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,23,NA,2.14,NA,NA
79,SGPI_79,2/3/16,DWDS_E,2016,site_E4,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,23.1,NA,1.52,NA,NA
80,SGPI_80,2/3/16,DWDS_E,2016,site_E5,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,92.4402826,1.17408447,1.134349093,0.03213238,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93,22.9,NA,1.29,NA,NA
81,SGPI_81,2/3/16,DWDS_D,2016,site_D7,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,64.5448507,1.35220781,0.932337184,0.039326958,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,21.8,NA,1.48,NA,NA
90,SGPI_90,4/21/16,DWDS_C,2016,site_C1,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,419.457512,1.000266,0.14574871,0.000354487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,NA,NA
91,SGPI_91,4/21/16,DWDS_C,2016,site_C2,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,275.364275,1.24340799,0.146000694,0.000666297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA
92,SGPI_92,4/21/16,DWDS_C,2016,site_C3,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,2995.923352,1.066100247,0.465076349,0.000217961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA
93,SGPI_93,4/21/16,DWDS_C,2016,site_C4,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,3575.49341,1.1032527,0.354875068,0.000117248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA
94,SGPI_94,4/21/16,DWDS_C,2016,site_C5,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,332.153925,1.07172188,0.195868988,0.000643928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,NA,NA,NA
95,SGPI_95,4/21/16,DWDS_C,2016,site_C6,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,242.896549,1.40586596,0.081675454,0.000473582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,NA,NA,NA
96,SGPI_96,4/21/16,DWDS_C,2016,site_C7,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,305.328926,1.29182151,0.158087526,0.000682092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,NA,NA,NA
97,SGPI_97,4/21/16,DWDS_C,2016,site_C8,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,196.646444,1.61358647,0.035810108,0.000293925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA
98,SGPI_98,4/21/16,DWDS_C,2016,site_C9,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,351.038221,1.14629048,0.127861612,0.000420596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA
99,SGPI_99,4/21/16,DWDS_C,2016,site_C10,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,39703.3242,1.07666147,0.483838325,1.45E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
100,SGPI_100,4/21/16,DWDS_C,2016,site_C11,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,100546.053,1.01237438,0.684322054,8.40E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA
101,SGPI_101,4/21/16,DWDS_C,2016,site_C12,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,114849.774,1.24681057,0.634201498,7.76E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA
108,SGPI_108,7/20/16,DWDS_B,2016,site_B1,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,741.205585,1.13822906,0.318907877,0.000512424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
109,SGPI_109,7/20/16,DWDS_B,2016,site_B2,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,29700.7821,1.01756925,0.778835575,3.37E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
110,SGPI_110,7/20/16,DWDS_B,2016,site_B3,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,1488.83024,1.15652869,0.460874108,0.000388958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
111,SGPI_111,7/20/16,DWDS_B,2016,site_B4,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,1780.07268,1.14149959,0.313259832,0.000216882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
113,SGPI_113,7/20/16,DWDS_B,2016,site_B5,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,2407.4786,1.14539471,0.350461033,0.000174758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
115,SGPI_115,7/20/16,DWDS_B,2016,site_B6,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,1148.80333,1.18375975,0.217886448,0.000228735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA
116,SGPI_116,7/20/16,DWDS_B,2016,site_B7,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,19284.2805,1.02008579,0.771669711,5.13E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
117,SGPI_117,7/20/16,DWDS_B,2016,site_B8,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,2269.83416,1.1396866,0.05409436,2.72E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
118,SGPI_118,7/20/16,DWDS_B,2016,site_B9,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,1813.23989,1.10074067,0.555302926,0.000383332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
119,SGPI_119,7/20/16,DWDS_B,2016,site_B10,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,3742.38577,1.0863943,0.509434677,0.000165124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
120,SGPI_120,7/27/16,DWDS_A,2016,site_A1,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,133883.487,1.05175889,0.903739428,9.54E-06,NA,NA,NA,NA,NA,NA,69.7,1,NA,8.34,NA,0.3,0.14,NA,NA
121,SGPI_121,7/27/16,DWDS_A,2016,site_A11,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,4323.30918,1.21487425,0.636391664,0.000204338,NA,NA,NA,NA,NA,NA,7.5,1,NA,8.66,26.1,0.62,0.49,NA,NA
122,SGPI_122,7/27/16,DWDS_A,2016,site_A2,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,6817.6296,1.13379954,0.645547628,0.000127736,NA,NA,NA,NA,NA,NA,11.1,1,NA,8.66,NA,1.18,1.02,NA,NA
123,SGPI_123,7/27/16,DWDS_A,2016,site_A4,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,52901.8039,1.0079239,0.849986118,2.17E-05,NA,NA,NA,NA,NA,NA,2,1,NA,8.68,NA,0.64,0.41,NA,NA
124,SGPI_124,7/27/16,DWDS_A,2016,site_A3,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,58880.7808,1.06780268,0.995089444,2.67E-05,NA,NA,NA,NA,NA,NA,5.3,1,NA,8.65,NA,0.64,0.53,NA,NA
125,SGPI_125,7/27/16,DWDS_A,2016,site_A5,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,BDL,22243.9794,1.00921449,0.897327371,5.54E-05,NA,NA,NA,NA,NA,NA,0.5,1,BDL,8.74,NA,0.65,0.5,NA,NA
126,SGPI_126,7/27/16,DWDS_A,2016,site_A8,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,83248.7969,1.04305195,0.880043924,1.45E-05,NA,NA,NA,NA,NA,NA,2,1,NA,8.69,NA,0.41,0.3,NA,NA
127,SGPI_127,7/27/16,DWDS_A,2016,site_A10,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,BDL,68438.0754,1.03093735,0.915609552,1.87E-05,NA,NA,NA,NA,NA,NA,0.5,1,BDL,8.61,25.6,0.39,0.2,NA,NA
